,t1 (mean),t2 (mean)
sample_243,0.17670628481001457,-0.3277957059307835
sample_244,0.1471242668887322,-0.3468952757658356
sample_245,0.13339098349696307,-0.2995926541813453
sample_246,0.10548673758946477,-0.23191953177612543
sample_247,-0.18501572860463938,0.2362255939374065
sample_248,0.04875416997896881,-0.05626212621036313
sample_249,0.117429254119055,-0.1339256688500143
sample_250,0.02779056863078657,-0.0418994706096138
sample_251,-0.4881812897494134,0.22346922491072385
sample_252,-0.29715888038772553,0.38418697647418865
sample_253,-0.36447872392288133,0.3679597642370837
sample_254,-0.708616264754217,0.3666524915128909
sample_255,-0.6490522020829023,0.37590967264269926
sample_256,-0.7387672717584695,0.3686972653786771
sample_257,-0.7401746310125524,0.3600243700526871
sample_258,-0.24044910096192304,0.24632328761363342
sample_259,-0.42243416530605904,-0.7662513320744117
sample_260,-0.4503798502930382,-0.7688844057107709
sample_261,-0.5277499631533797,-0.6656618504637162
