,MaxAbsEStateIndex,MinAbsEStateIndex,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan3,Chi1,Chi1n,Chi1v,Chi3n,Chi3v,Chi4n,Kappa1,Kappa2,SMR_VSA1,SMR_VSA4,SMR_VSA5,TPSA,EState_VSA3,EState_VSA5,EState_VSA7,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,NumRotatableBonds,RingCount,MolLogP,MolMR
sample_114,10.125972222222222,0.195648148148148,116.16,0.3021326858670147,-0.4656044264579465,2.25,3.625897657686229,2.7598722539017904,2.7598722539017904,0.6199297990629522,0.6199297990629522,0.2840206908719886,7.470000000000001,3.4692670369115906,9.53140013787187,5.917906046161393,20.771211599071872,26.3,12.52478801067431,6.923737199690624,13.847474399381248,0.0,10.125972222222222,0.0,5.961898148148148,8,0,0,2,0,1.2055,31.470999999999982
sample_115,5.634722222222223,0.5358796296296295,99.177,0.003877844068942,-0.3277117538242551,1.8571428571428568,3.393846850117352,3.1498299142610597,3.1498299142610597,1.6498299142610593,1.6498299142610593,1.1341667921791847,5.10367816091954,2.3141072195146584,0.0,5.733667477162185,38.14594894377801,26.02,6.041840829147961,32.10410811463005,0.0,5.733667477162185,0.0,5.634722222222223,0.0,7,2,1,0,1,1.2778,31.06039999999999
sample_116,2.243055555555556,0.5416666666666667,86.17799999999998,-0.0385231176562679,-0.0648833608384882,1.3333333333333333,2.5606601717798214,2.560660171779821,2.560660171779821,1.0606601717798212,1.0606601717798212,0.0,6.0,1.6326530612244898,0.0,5.41499046939678,34.11577042168851,0.0,5.41499046939678,6.4208216229260096,0.0,0.0,0.0,0.5416666666666667,8.9375,6,0,0,0,0,2.442500000000001,29.74599999999998
sample_117,2.240740740740741,0.8518518518518516,86.178,-0.0448126590842044,-0.062529132306798,0.8333333333333334,2.6427344100918364,2.642734410091837,2.642734410091837,1.3333333333333337,1.3333333333333337,0.0,6.0,2.2222222222222223,0.0,11.835812092322788,27.694948798762496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.962962962962964,6,0,0,1,0,2.2984,29.675999999999984
sample_118,2.231805555555556,1.355,86.178,-0.0535787022523684,-0.0653823845981235,1.3333333333333333,2.914213562373095,2.914213562373095,2.914213562373095,0.9571067811865472,0.9571067811865472,0.4999999999999998,6.0,5.0,0.0,0.0,39.53076089108528,0.0,0.0,25.68328649170404,0.0,0.0,0.0,0.0,4.463611111111111,6,0,0,3,0,2.5866000000000007,29.81599999999998
sample_119,2.2534722222222223,0.8981481481481479,86.178,-0.0471426354375666,-0.0653725981789939,1.8333333333333333,2.770055610029662,2.770055610029662,2.770055610029662,0.8660254037844386,0.8660254037844386,0.5773502691896257,6.0,3.2,0.0,5.917906046161393,33.61285484492389,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,6.729166666666667,6,0,0,2,0,2.442500000000001,29.74599999999998
sample_120,2.2777777777777777,0.9351851851851852,86.178,-0.0448047100395457,-0.0651284736461816,1.5,2.808060412490447,2.808060412490447,2.808060412490447,1.3938468501173518,1.3938468501173518,0.2886751345948128,6.0,3.2,0.0,5.917906046161393,33.61285484492389,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,6.738425925925926,6,0,0,2,0,2.442500000000001,29.74599999999998
sample_121,5.25,0.3749999999999998,102.177,0.0521856210381623,-0.3761436759458136,1.1428571428571428,3.125897657686229,2.780805597549535,2.780805597549535,0.5443310539518176,0.5443310539518176,0.5443310539518176,6.96,3.026851631655436,4.736862953800049,0.0,39.9028815742591,9.23,12.207932775496603,0.0,27.694948798762496,4.736862953800049,0.0,0.0,8.166666666666666,7,0,0,2,0,1.8198,31.356999999999974
sample_122,5.131944444444445,0.9244444444444444,102.177,0.0462900699892928,-0.3814740119982717,1.7142857142857142,3.414213562373095,2.9915638315627207,2.9915638315627207,0.6969234250586758,0.6969234250586758,0.3907372072107785,6.96,5.959999999999999,4.736862953800049,0.0,26.689117645233267,9.23,0.0,0.0,0.0,4.736862953800049,0.0,0.0,6.090277777777777,7,0,0,4,0,1.823,31.400999999999986
sample_123,5.0600000000000005,0.0370370370370374,118.176,0.1542551713858135,-0.3532616030064746,1.75,3.808060412490447,3.040318621543378,3.040318621543378,0.8027494301546212,0.8027494301546212,0.5175286192537566,7.919999999999998,5.064508670520231,9.473725907600098,0.0,27.06123832840709,18.46,0.0,0.0,20.771211599071872,9.473725907600098,0.0,0.0,7.250370370370371,8,0,0,4,0,1.4054,32.713999999999984
sample_124,3.305555555555556,0.6249999999999998,101.19299999999998,0.0012688652752598,-0.3123344255205416,1.1428571428571428,3.125897657686229,2.886751345948129,2.886751345948129,0.6666666666666669,0.6666666666666669,0.6666666666666669,6.96,3.026851631655436,0.0,0.0,39.77863045705841,12.03,12.08368165829592,0.0,0.0,0.0,0.0,0.0,8.61111111111111,7,1,1,2,0,1.3927999999999998,33.407699999999984
sample_125,3.2847222222222223,1.1744444444444444,101.193,-0.0051551415481564,-0.3167534298664198,1.7142857142857142,3.414213562373095,3.1213203435596424,3.1213203435596424,0.8535533905932735,0.8535533905932735,0.4785533905932736,6.96,5.959999999999999,0.0,0.0,26.689117645233267,12.03,0.0,25.93115605767717,0.0,0.0,0.0,0.0,6.715277777777777,7,1,1,4,0,1.396,33.45169999999999
sample_126,10.00648148148148,0.729166666666667,106.12399999999997,0.149548028830363,-0.2978964116504968,2.125,3.931851652578137,2.4350609975132884,2.4350609975132884,0.9356552548998028,0.9356552548998028,0.5316063389306862,5.035137880986937,2.262450086021194,4.794537184071822,0.0,0.0,17.07,0.0,0.0,18.19910120538483,0.0,10.00648148148148,0.729166666666667,0.0,8,0,0,1,1,1.4991,31.829499999999992
sample_127,10.200925925925926,0.331018518518519,122.12299999999996,0.3351782346710392,-0.4776392505801173,2.111111111111111,4.304530452640311,2.5884145455048704,2.5884145455048704,1.0207396434199782,1.0207396434199782,0.5807298335466442,5.820039011703511,2.306763635550358,9.901064578912528,0.0,0.0,37.3,5.563451491696996,0.0,0.0,5.106527394840706,10.200925925925926,0.331018518518519,0.0,9,1,1,1,1,1.3848,33.4013
sample_128,2.083333333333333,1.3217592592592595,92.141,-0.0397745263236275,-0.0622490857819948,1.8571428571428568,3.393846850117352,2.41068360252296,2.41068360252296,0.9404557350153064,0.9404557350153064,0.5343778974176118,4.380771704180065,1.7832860398554335,0.0,0.0,6.923737199690624,0.0,0.0,5.563451491696996,18.19910120538483,0.0,0.0,1.3217592592592595,2.083333333333333,7,0,0,0,1,1.99502,31.17899999999999
sample_129,8.537592592592592,0.139722222222222,108.13999999999996,0.0681369397217478,-0.3916804684282009,2.125,3.931851652578137,2.580464759133072,2.580464759133072,1.0253988479125442,1.0253988479125442,0.5834198265146368,5.319275766016713,2.478228728905256,5.106527394840706,0.0,6.606881964512918,20.23,0.0,0.0,30.33183534230805,5.106527394840706,0.0,0.965277777777778,0.139722222222222,8,1,1,1,1,1.1789,32.364799999999995
sample_130,8.813055555555556,0.3379629629629632,108.14,0.1153396524534321,-0.5079565717457838,2.5,3.787693700234704,2.5449740027958976,2.5449740027958976,1.0016564017772738,1.0016564017772738,0.6279702493922379,5.162450142450142,1.864622199497544,5.106527394840706,0.0,6.923737199690624,20.23,5.749511833283905,0.0,19.056471336613843,5.106527394840706,0.0,1.0879629629629632,1.9441666666666664,8,1,1,0,1,1.7006199999999998,32.843799999999995
sample_131,8.91925925925926,0.3680555555555558,108.14,0.1179796186843986,-0.5076872844527907,2.25,3.804530452640311,2.5509570669396053,2.5509570669396053,1.1154541553668325,1.1154541553668325,0.5634205269554476,5.162450142450142,1.864622199497544,5.106527394840706,0.0,6.923737199690624,20.23,5.749511833283905,0.0,25.12283840507545,5.106527394840706,0.0,0.9236111111111112,1.8703703703703705,8,1,1,0,1,1.70062,32.843799999999995
