,MaxEStateIndex,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi3n,Chi3v,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA6,SlogP_VSA5,TPSA,EState_VSA5,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,HeavyAtomCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms
sample_11,9.256944444444445,0.1111111111111109,73.071,68.031,-0.5501828650303152,0.5501828650303152,0.041108964454662,2.0,2.2,2.847378923087672,0.2886751345948129,0.2886751345948129,9.65148445440323,3.469999999999999,9.901064578912528,6.4208216229260096,5.969305287951849,0.0,5.969305287951849,0.0,13.344558822616634,40.13,6.923737199690624,9.256944444444445,0.0,-0.99537037037037,0.0,0.1111111111111109,5,2,0,2,0,2
sample_12,9.368055555555555,0.2222222222222221,74.079,68.031,-0.4812379170193394,0.4812379170193394,0.3025584374920559,2.0,2.2,2.847378923087672,0.3024514503058254,0.3024514503058254,9.65148445440323,3.469999999999999,5.106527394840706,0.0,6.4208216229260096,0.0,5.969305287951849,0.0,13.344558822616634,37.3,0.0,7.722222222222222,0.0,-0.74537037037037,0.0,0.2222222222222221,5,2,0,1,1,2
sample_13,3.248263888888889,1.1319444444444444,122.993,115.937,-0.0928186496107851,0.0928186496107851,0.0028627972390594,1.75,2.0,1.9747448713915892,0.1889822365046135,0.9819805060619654,6.854752972273345,2.480000000000002,0.0,6.4208216229260096,5.330089647061427,0.0,15.929943897949348,5.330089647061427,13.344558822616634,0.0,6.4208216229260096,1.1319444444444444,0.0,0.0,0.0,1.2361111111111112,4,0,0,0,0,1
sample_14,5.274691358024691,0.3055555555555556,78.542,71.486,-0.1236117709887025,0.1236117709887025,0.0279128306530506,1.5,1.5,2.3237900077244498,0.0,0.0,3.2451124978365318,45.31259215219977,0.0,13.847474399381248,5.3770878682057255,0.0,11.600939890232516,0.0,13.847474399381248,0.0,0.0,0.3055555555555556,0.0,0.0,0.0,0.0,4,0,0,0,0,1
sample_15,5.1859567901234565,0.7916666666666667,78.542,71.486,-0.1267278871383566,0.1267278871383566,0.0220330463305987,1.75,2.0,1.9747448713915892,0.1889822365046135,0.5669467095138407,6.854752972273345,2.29,0.0,6.4208216229260096,5.880003444970339,0.0,11.600939890232516,5.880003444970339,13.344558822616634,0.0,0.0,0.0,0.0,0.7916666666666667,0.0,1.0848765432098766,4,0,0,0,0,1
sample_16,4.909722222222222,0.5833333333333334,57.09599999999999,50.04,-0.3270522846975318,0.3270522846975318,0.0103744344555753,2.0,2.25,2.2968352619191394,0.1666666666666666,0.1666666666666666,6.854752972273345,1.7000000000000013,5.733667477162185,0.0,6.544756405912575,0.0,0.0,6.544756405912575,0.0,26.02,0.0,0.0,4.909722222222222,0.0,0.0,1.6527777777777777,4,1,0,1,1,1
sample_17,2.125,1.25,44.097,36.033,-0.0656454412102395,0.0656454412102395,0.0590383639290487,1.3333333333333333,1.3333333333333333,1.6329931618554523,0.0,0.0,2.754887502163468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,1.25,3,0,0,0,0,0
sample_18,4.541666666666666,0.8194444444444444,60.096,52.032,-0.3849768931683057,0.3849768931683057,0.0433453891175591,1.75,2.0,1.9747448713915892,0.2886751345948129,0.2886751345948129,6.854752972273345,1.96,4.736862953800049,6.923737199690624,13.716679505790452,0.0,0.0,13.716679505790452,6.923737199690624,9.23,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,1,0,1
sample_19,7.875,0.3194444444444444,60.096,52.032,-0.3963873506323361,0.3963873506323361,0.0427892799205337,1.75,2.0,1.9747448713915892,0.2236067977499789,0.2236067977499789,6.854752972273345,1.96,5.106527394840706,6.4208216229260096,6.606881964512918,0.0,0.0,6.606881964512918,13.344558822616634,20.23,0.0,7.875,0.0,0.0,0.0,0.875,4,1,0,1,1,1
sample_20,4.46875,0.3888888888888888,76.095,68.031,-0.3586824811062546,0.3586824811062546,0.1454483236263153,1.2,1.6,2.19060968716425,0.2357022603955159,0.2357022603955159,11.245112497836532,3.92,9.473725907600098,0.0,14.219595082555069,0.0,0.0,21.01253738865489,0.0,18.46,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,2,0,2
sample_21,8.11111111111111,0.1388888888888888,76.095,68.03099999999999,-0.3937000421977661,0.3937000421977661,0.0742386440636602,1.8,2.0,2.5395388613593903,0.2642238439278279,0.2642238439278279,9.65148445440323,3.92,10.213054789681411,6.923737199690624,0.0,12.71084835226122,0.0,6.606881964512918,6.923737199690624,40.46,6.923737199690624,16.00462962962963,0.0,0.0,0.0,-0.5601851851851856,5,2,0,2,2,2
sample_22,5.111111111111111,0.3333333333333332,59.112,50.04,-0.328262980899961,0.328262980899961,0.0017924242320082,1.5,1.5,2.3237900077244498,0.0,0.0,3.2451124978365318,1128.9599999999998,5.733667477162185,6.041840829147961,0.0,0.0,0.0,0.0,13.847474399381248,26.02,0.0,0.0,5.111111111111111,0.0,0.3333333333333332,0.0,4,1,0,1,1,1
sample_23,5.027777777777778,0.8194444444444444,59.11199999999999,50.04,-0.3304839223850739,0.3304839223850739,0.007990568627305,1.75,2.0,1.9747448713915892,0.2886751345948128,0.2886751345948128,6.854752972273345,1.96,5.733667477162185,12.965578028838586,0.0,0.0,0.0,6.544756405912575,13.344558822616634,26.02,0.0,0.0,5.027777777777778,0.0,0.0,1.0972222222222223,4,1,0,1,1,1
