,MaxEStateIndex,NumAromaticCarbocycles,ExactMolWt,HeavyAtomCount,MolWt,Chi0,Chi3n,MaxAbsPartialCharge,LabuteASA,Chi0n,NumValenceElectrons,Chi0v,Chi3v,MinAbsPartialCharge,Chi1n,Chi1,MolMR,NumHDonors,Chi1v,NOCount,Chi2n,VSA_EState10
BalabanJ,0.049877677359927285,0.21019580222446335,0.380864706761169,0.47600513832882857,0.3793249579998784,0.42825645179321403,0.5911206860893323,0.011402981001322436,0.45237723785495715,0.4905176201544317,0.4579125016548837,0.43500436374500584,0.4655804567195702,0.07123868059575825,0.5573436657650759,0.4966966714157624,0.47207520944329545,0.09668168469662185,0.48451992204655986,0.13025389155728437,0.5539178950341,0.0993765136166493
BertzCT,0.35541763948057326,0.615144812073813,0.8274931445324856,0.9118174352539555,0.8260317156453927,0.8877613139151538,0.730576780222983,0.15978677846066733,0.8841106076910675,0.8289202219583817,0.857233261373909,0.8323065010285013,0.7242486498614085,0.279438859088844,0.8009044119113793,0.9150022960932949,0.8851225969651761,0.2747631241943288,0.8057701016656625,0.5079601962002729,0.7614875457649003,0.13122366104111066
Chi2v,0.33840137880402005,0.21493583591293344,0.8918877367011839,0.8668298523882879,0.8912010929253894,0.8719535663154425,0.8411138569338971,0.10972235468109537,0.9061910365783244,0.8675028546168528,0.8881350937544071,0.9380403886195798,0.9576191303839223,0.195447744424429,0.8615115740012275,0.8554712639424048,0.8996700424118255,0.21118563259209827,0.9614062385799498,0.37578677649135783,0.870314046284993,0.24926789520688272
Chi4n,0.3478422853314524,0.16185432601126692,0.6933393822089464,0.8184502767439994,0.6911137888932467,0.7980917517507327,0.9910683483769259,0.16850408964083835,0.7911311924699244,0.8579960473185568,0.8247092837074761,0.7936407094023215,0.8682938924928889,0.13829934698311883,0.904859715810086,0.818380057388446,0.7913410873154995,0.2508981403026159,0.8188777817996213,0.3426636588459297,0.9546759523000516,0.044159122167689274
Chi4v,0.30891714392074066,0.1764727475575638,0.792979897979863,0.8129210116580877,0.7917735033657379,0.8028606414890936,0.8913635907773788,0.10789534938236563,0.8339514351008789,0.8218660280675952,0.8261988579546021,0.8554899641913244,0.9807525146073176,0.14498021418701937,0.8468056622261068,0.8083934051836533,0.8314959797252438,0.1901356504048073,0.9063097362096196,0.3185377625044981,0.8704571082796737,0.1698317055052555
HallKierAlpha,0.41016920627771797,0.5123174028322331,0.2775398845345676,0.5609331678981415,0.2734038936277279,0.5275105765506729,0.3747044573414606,0.3911858844656252,0.4128418848548973,0.5201946885705765,0.4871431620896151,0.3280655597950115,0.1559218629238351,0.4344410966863302,0.4867204719498316,0.5773375544797485,0.43799169039232855,0.33072288470438815,0.3030368989799974,0.5859810093043842,0.4177116888082845,0.4579116407199236
Ipc,0.03317466365467277,0.024606325100247507,0.1422603673267247,0.15505530531620618,0.14181083393506647,0.1598879689368641,0.09902520414821549,0.028751465882652937,0.148016108454988,0.15121632348895997,0.16667643683393998,0.14067441915789108,0.0822060651926674,0.035680778436001474,0.1472321832089808,0.1539994679680199,0.13716054386294804,0.16060804364172987,0.13315197890271807,0.15373136309655708,0.12896301397838983,0.012851900012457803
Kappa1,0.49955566140930446,0.23017630301860445,0.9206059226618833,0.9385199963640218,0.9193894218194125,0.9620411644287533,0.7719814736487209,0.26750593186655497,0.9534209791493329,0.9329410838605636,0.9683236910209325,0.965140899915153,0.8226980668028628,0.3891775788740866,0.8952790635677828,0.9273238447816738,0.9317086140315837,0.33967931149883895,0.9384024582358146,0.5634704864345779,0.8430948547155087,0.2090695138900952
Kappa2,0.31335428594938497,0.06295006203021761,0.626088040066758,0.627437664077467,0.625024277265232,0.6538738755369895,0.4549230729143234,0.19381691764668768,0.6557528205150507,0.6790334602981011,0.6839171209241207,0.6974807361400013,0.5154276332057123,0.26463888057334467,0.6640074807759276,0.631558435919328,0.6696836941819936,0.151812522432627,0.7032837904603109,0.33034441555851796,0.5368466963608253,0.1085072636573357
Kappa3,0.05037786675972212,0.0466235702131475,0.03632102075955584,0.042256316801650054,0.036254396935983604,0.037359343440086505,0.03928492268824891,0.003365628657776984,0.038845563098591065,0.028556400822145316,0.03396748080576702,0.028623893667479933,0.03810125712655439,0.03322451151651082,0.03341071273973101,0.044347290862722294,0.037177155892167864,0.02544141207508787,0.03188841831830127,0.02036365309113277,0.02615012247431873,0.006577967100338625
