,t1 (mean),t2 (mean)
sample_189,0.6551734585416931,-0.887970404168456
sample_190,0.9999999999999989,-0.7930512593830896
sample_191,1.0,-0.7349536240575761
sample_192,-0.24137924937979635,0.9310344830387552
sample_193,-0.31034482758612103,-0.44827586206899045
sample_194,-0.31034482758620824,-0.44827586206896414
sample_195,-0.03502658826422134,0.9310344827586207
sample_196,0.7241288563193359,-0.7931125229912734
sample_197,0.9999999999999999,-0.6550158090473407
sample_198,1.0,-0.6090196997775928
sample_199,1.0000000000000002,-0.5880888378773339
sample_200,0.37346713495519973,-0.6610156236650802
sample_201,-0.1724137931034483,0.3793103448275862
sample_202,0.3793078624959706,-0.6551748961246128
sample_203,1.0,-0.5185057300688329
sample_204,1.0,-0.5172324299903037
sample_205,0.2413793103448276,0.8620689655172413
sample_206,0.9999999999999999,-0.3793103816297265
sample_207,0.6551724137931034,1.0
sample_208,0.9999999999999999,-0.24070933783270795
sample_209,0.9310344827587039,0.10344827586173595
sample_210,0.6551724137931034,1.0
sample_211,1.0,-0.17257823130021746
sample_212,1.0,0.5172413793103449
sample_213,-0.6552808841572141,0.9257250244321344
sample_214,-0.9346478140077924,-0.8501089426699735
sample_215,-0.999530807642482,-0.654119500427118
sample_216,-0.9999999999999981,0.29719494303086536
sample_217,-0.8668698508886803,0.718579257415624
sample_218,-0.9998822205157468,-0.6503329814985115
sample_219,-0.9092542637121768,-0.9032171202581136
sample_220,-0.9308880749977219,-0.8623295388236332
sample_221,-0.9986792418404217,-0.6401670897832507
sample_222,-0.9999999999999999,0.1755137703125065
sample_223,-1.0,0.22308690591151498
sample_224,-0.9999995382097117,0.38499215319810404
sample_225,-0.9999999997703507,0.3423178178251336
sample_226,-0.9437860330244805,-0.7279255106282552
sample_227,-0.7939269741706185,-0.9999999710573046
sample_228,-0.7914503057462456,-0.9999999992196433
sample_229,-0.7987270375260165,-0.9999994671895501
sample_230,-0.9998961123689948,-0.6408077532393173
sample_231,-0.6604861452290688,0.9272895382872685
sample_232,-0.5472400808882945,0.9999168262225584
sample_233,-0.6550797266652331,0.8570039450128807
sample_234,-0.6323252417071236,0.915842909623484
sample_235,-0.9966314789197941,-0.6037851124412775
sample_236,-0.9999999958237826,0.2996176198512321
sample_237,0.99999999998835,-0.8239564958444703
sample_238,-0.9989626496133557,-0.6286747731248756
sample_239,-0.9993376060312037,-0.6056779493593435
sample_240,-0.9998380166329282,-0.628103886731124
sample_241,-0.9999839171982697,-0.5293897323058284
sample_242,-0.6538950750403307,-0.8620694240217692
sample_243,-0.7264344348075918,-0.9999999063635623
sample_244,-0.72484980710294,-0.9999999628746838
sample_245,-0.7313790750174565,-0.9999999973641567
sample_246,-0.7806778976744193,-0.9999999929788222
sample_247,-0.94690807855173,-0.7016321533893086
sample_248,-0.7905918531913284,-0.9999898048286131
sample_249,-0.7908722854184911,-0.9999999129941263
sample_250,-0.796408075667577,-0.9999777230449572
sample_251,-0.6604861452290688,0.9272895382872685
sample_252,-0.6518980049970409,0.9273564434099258
sample_253,-0.63899298092069,0.9245372126040491
sample_254,-0.517284318102012,0.9999999110001192
sample_255,-0.5172955648300734,0.9999988537926751
sample_256,-0.5172501553629846,0.9999999985361467
sample_257,-0.5172570589058499,0.9999999858287404
sample_258,-0.9996516905577796,-0.6199073562981355
sample_259,-0.9999999999843612,-0.3003947710300839
sample_260,-0.9999999988141951,-0.3693270823271956
sample_261,-0.9999999999832996,0.06254582411499754
sample_262,-0.999999999981554,-0.12245471964210955
sample_263,-0.9999999999989146,-0.026983973913486878
sample_264,-0.9996482326028872,-0.5930996706049949
sample_265,-1.0,0.03486758674615152
sample_266,-0.9999984425058766,-0.4281314749057422
sample_267,-0.7241403067842208,0.9309699431734251
sample_268,-0.9995240024539291,0.4465211991241495
sample_269,-0.861758126203524,0.7245188654789392
sample_270,-0.7278914061550567,-0.9999999999782375
sample_271,-0.5722329928748658,0.9999434345239047
sample_272,-0.6551707475186437,0.8553700322312676
sample_273,-0.5175035879388845,0.9999999706479388
sample_274,-0.9988329922082791,-0.5837802006713622
sample_275,-0.7931032671988195,0.24771124012362633
sample_276,-0.7241379950508857,-0.5591113794181779
sample_277,-0.7992407337261727,-0.9985677629384805
sample_278,0.9994515931136946,-0.9413392553581525
sample_279,0.9990869462574085,-0.9999978963255692
sample_280,0.6551723861166572,-0.9971898213016781
sample_281,0.9980736513138881,-0.9275834986967908
sample_282,-0.4482780959102004,0.7241400685140474
sample_283,-0.10344867760570706,0.9310344827586207
sample_284,0.6551962741631993,-0.8642624139198267
sample_285,0.6552026957895033,-0.8629614416743252
sample_286,0.9999999999999963,-0.7923724591437686
sample_287,0.9999999999999998,-0.7092635481819436
sample_288,0.7241351633979528,-0.793106215912432
sample_289,0.3793096095404897,-0.6551731490801671
sample_290,1.0,-0.3793031745843759
sample_291,-0.8627852558751966,-0.9967223767665349
sample_292,-0.9311244823339845,-0.8611782152546792
sample_293,-0.6532067400350593,-0.8620682536857561
sample_294,-0.5175445520738491,0.9999999065307887
