"",MaxAbsEStateIndex,HeavyAtomMolWt,ExactMolWt,MaxAbsPartialCharge,MinAbsPartialCharge,Chi0,Chi0v,Chi1,Chi1n,Chi2v,Chi3n,Chi4n,Chi4v,LabuteASA,VSA_EState10,HeavyAtomCount,NOCount,NumHDonors,MolMR,fr_benzene
VSA_EState4,0.08986165306137459,0.004758131331427963,0.0045962399948922044,0.05207506690731429,0.008448304341196403,0.03236194488130636,0.00039585114806915184,0.06538866190835338,0.0252984067880125,0.05359116872267723,0.025816704289211092,0.04072096005775522,0.06717089951432618,0.030043186504744003,0.08520561233456418,0.05358474954519764,0.07426104578626333,0.17285205076072416,0.07294717273747525,0.2530887233957835
EState_VSA9,0.04501356969319674,0.44916750976857056,0.40866015583756127,0.1632636820238404,0.016647414222737012,0.20409574362662908,0.29920723646287917,0.15957603147139993,0.00932227777513335,0.2629768386790492,0.00749101911232148,0.019399311433405356,0.17815815239831626,0.3216076188077332,0.9353598678827982,0.17703780147303322,0.07295163967469082,0.04653389278709738,0.2476205237550436,0.1589204559255808
SlogP_VSA6,0.00940481153846676,0.3664061958067459,0.355384305498028,0.056572333569581676,0.01339572425101591,0.40847157136529927,0.3454805495777395,0.49218404835811985,0.3617059923248242,0.2404842755045732,0.2603209695781252,0.23587066423449207,0.2200986248565373,0.4274546532249932,0.01234499683859302,0.4661412791698834,0.048813108633704784,0.023740051397452406,0.48678229614433294,0.842668980993972
SlogP_VSA3,0.47010643118650136,0.4200956375054406,0.4399249182545706,0.3351140876429542,0.48766651518504384,0.5150705715812911,0.47029073000170707,0.4782525083020713,0.4586961119908316,0.48682833183995783,0.3912768438465261,0.37390674066966867,0.446669254965878,0.4486507000324189,0.13291343422750648,0.49080206824042577,0.5611310966131289,0.23135754232270134,0.41199809566480816,0.06802246976790055
EState_VSA4,0.24083596692381876,0.28741198006194274,0.32509051039526193,0.1939844541739598,0.06199158986244455,0.402364396104705,0.44081244740287284,0.4296922206211098,0.5485451134030046,0.43689843857786603,0.5454816211811317,0.5351389647104949,0.4706733934674155,0.4061052633090967,0.14038558652170743,0.419005924013557,0.10214636451813405,0.005438057459980386,0.4395779164529895,0.020126360486270783
fr_C_O,0.6057437829884088,0.26101053709614924,0.2808443597707073,0.3677246864153595,0.5736645534304962,0.4062326754361248,0.30857014673963146,0.36477788028039393,0.37652862943174104,0.26060370557009915,0.3812807611794268,0.3735603112317123,0.27433076826297936,0.3204454788643005,0.19421279592781468,0.37905122333547714,0.49877160740430376,0.31523787416755883,0.2659519286035045,0.15976339930887776
fr_halogen,0.10699659436399625,0.4474787900057439,0.39930326348303435,0.3329418173908158,0.12679046116435286,0.12431830440104372,0.24362749819055624,0.08068889861345288,0.0621442990757992,0.21901143708917503,0.047266918143961806,0.047535573572305895,0.12351723913638425,0.26148500435272454,0.9282279393701528,0.10013116258742596,0.24893184817293285,0.20002084237407816,0.1860582142139545,0.17364267372375333
SMR_VSA5,0.28082204519784887,0.2275006566275427,0.2879690389042833,0.17462186368111451,0.072904847410634,0.41586564650107943,0.452867124367458,0.3821132551123119,0.6066251799450214,0.5096039862515865,0.6268774092256235,0.6123515739544181,0.5177851823265378,0.37146334022163924,0.23561918735011902,0.3920600132400584,0.18538227271213809,0.19858369724973965,0.3801890009496038,0.384016996000765
SlogP_VSA5,0.29980210036456206,0.15423057440965374,0.21464173650906748,0.19738631259796033,0.1065182802407724,0.360253358843691,0.39297725825512797,0.3369037506238347,0.5653133119736312,0.42268623545296335,0.5654524783925808,0.5484247052431703,0.4383778880877097,0.3131802948106082,0.28918176060102474,0.3409072892582807,0.1000300888913518,0.0653309779096001,0.3390671010225233,0.32396258459200084
MinAbsEStateIndex,0.7269395991968556,0.3191953304262937,0.3261510804684888,0.5391978534179372,0.5462844866320576,0.3820682224775922,0.3293950176212889,0.3316295772540682,0.2902614313970242,0.2903532502810078,0.2565545778089111,0.2306010856956526,0.23619649470452816,0.3347299044567176,0.08216722527646392,0.34966517787805246,0.4581024370344513,0.3000918318940459,0.278401424652619,0.09938768347007827
EState_VSA6,0.312320063830651,0.29655132251469596,0.2890195587610364,0.20549553709628254,0.30531588994140735,0.30938930898299766,0.2674513785535727,0.30533919203315,0.20271678704959648,0.18122579226332822,0.11282647698810834,0.0847101064482471,0.1299674208267475,0.2988003309264312,0.09459159089493203,0.3059970008781208,0.2312401409366938,0.07529357091213687,0.28477112925886106,0.2490246302245605
VSA_EState5,0.16683431928207074,0.10349595611188482,0.089125497584851,0.11626077941396543,0.22210737820613732,0.11351746492778089,0.008351274193759337,0.07386239078817307,0.0274606008902714,0.06699362620426376,0.07610596437743386,0.09506403002473193,0.11145456810463408,0.056489691708068716,0.0035166209088789892,0.08759466996892215,0.2970624431732075,0.35292952290456414,0.0007875472025671439,0.05518130797784348
SlogP_VSA2,0.4874912740314975,0.4852613755008886,0.5122856515744715,0.4675352381631216,0.43766962915787333,0.6132013526574032,0.5363320902623137,0.5790193807801858,0.5644891325987087,0.49231313638299407,0.5085313582692625,0.48123944690780585,0.45745743783586373,0.5383781245857014,0.14521243029084854,0.589892402311302,0.7727067130060972,0.6009078116570248,0.48096442144295126,0.1847145310109961
VSA_EState7,0.002589225593435726,0.024800624020152307,0.01559137393778132,0.00489947984511339,0.09599586831823545,0.08555754751706707,0.15319307376073205,0.11224176354761896,0.31060468890853055,0.21005534730184702,0.36244643364686097,0.37894309440642543,0.29375870746439514,0.09676456918633294,0.1774556890918051,0.09979967118012487,0.14362738173830364,0.19663577252449885,0.14033574029874551,0.3279599636435388
FpDensityMorgan3,0.3899546804030105,0.050964857563964,0.06639059269220321,0.40979822395154436,0.39074597062289024,0.17556900819943627,0.10530606491640276,0.19524787054771847,0.20385099869121742,0.08164826200874539,0.21790243217054464,0.22511616204792376,0.15395560357219035,0.1180566486004024,0.29750748479890193,0.18935400173643568,0.35635327049395393,0.17830106218644814,0.11394486006805613,0.1289447632733767
SMR_VSA9,0.05791660000573515,0.31590838920816483,0.30053396757010375,0.09395550311691406,0.0260832619347863,0.2784151578389886,0.26236625836811256,0.29752258696986666,0.18867326824291736,0.1568355534137425,0.13249040979912738,0.1129602918958011,0.12489773786688188,0.30741256837509207,0.22999215965791822,0.2914493382790469,0.07262075501047519,0.05202660691698593,0.30058716222755877,0.42368118427395834
VSA_EState8,0.08275005212609127,0.025224054026449262,0.023223407435814213,0.07838734553654807,0.0389927515841153,0.14993952189470372,0.20452468826269038,0.10772693980360154,0.2897927445944031,0.23381394456937826,0.26005475034297293,0.23445542555363855,0.20223524681828964,0.10437375720204745,0.25882622674010214,0.11958352819747793,0.01112477166119706,0.09109046102908294,0.1543770417936117,0.31238326076956885
EState_VSA2,0.49709874741654847,0.5455823324551523,0.551356069929483,0.2915930825229339,0.35949996244312254,0.5747399000205314,0.5434236164594511,0.5292323590957487,0.4899854114013263,0.5187873712700147,0.5142571754347343,0.5070600830390901,0.5096980615809641,0.5538362465133243,0.2055194459407041,0.5495221961944186,0.43904860954143454,0.2934652110598388,0.4892487681660775,0.0014223573935431377
